one_city,city_count
Belmont,601
Milner,600
Bay City,600
Stillwater,598
Halstad,597
Barnard,596
Leetsdale,595
Schaumburg,595
Avera,595
Sterling City,594
Mendon,593
Churubusco,592
Humble,591
Smith River,590
Alton,588
Luzerne,587
Hovland,586
Miamisburg,585
Grimesland,581
Burrton,553
Dublin,353
El Paso,343
Annapolis,335
Greenbush,334
Achille,333
Dresden,333
Ironton,333
White Sulphur Springs,333
Livonia,332
Tuscarora,332
Ehrhardt,332
Providence,332
Hartford,332
Smithfield,331
Premier,330
Clearwater,330
Monitor,330
Burns Flat,330
Prairie Creek,330
Emmons,330
Linthicum Heights,329
Boyd,328
Winthrop,328
Pearlington,328
Hazel,328
Waynesfield,327
Williamsburg,327
Loami,326
Old Hickory,326
Moores Hill,326
Brashear,326
Apison,326
Saint Francis,326
Adams,325
Du Pont,325
Kittery Point,325
Newton,324
Skytop,324
Washoe Valley,324
Republic,323
Newport,323
Brainard,323
Etlan,322
Omaha,322
Valentine,322
Gaithersburg,322
Lane,322
San Angelo,322
Ferney,322
Galatia,321
Rock Glen,321
Curlew,321
Vienna,321
Ravenna,320
Remer,320
Springfield Gardens,320
Sprague,320
Wendel,320
Preston,320
Paxton,320
Damascus,319
Bonita Springs,319
Bethel,319
Maria Stein,318
Sea Island,318
Parker,318
Jaffrey,318
Dayton,318
New Memphis,318
Gainesville,318
Dadeville,318
Benton,317
Kings Bay,317
Oakford,317
North Las Vegas,317
Amorita,317
Stoneham,317
Powell Butte,317
Woods Cross,316
Spring,316
Parker Dam,316
Knowlesville,316
Los Angeles,316
Whittemore,316
Northport,315
Liberty Mills,315
Claremont,315
Cassatt,315
Port Saint Lucie,314
Bryant,314
Red Cliff,314
Collegeville,313
Dexter,313
Huslia,313
Bigelow,313
Pea Ridge,313
Dalton,313
Oakdale,312
Lorenzo,312
Desdemona,312
Jordan Valley,312
Sardis,312
Odessa,312
Westfir,311
Pecos,311
Azusa,311
Fairhope,311
Huntington Beach,310
Putnam,310
Humboldt,309
Wittenberg,309
West Chazy,309
East Rochester,309
Lepanto,309
Paris,309
Hopewell,309
Hills,308
Aurora,307
Yellowstone National Park,307
Sunflower,307
North Haverhill,307
Owensville,307
North Brookfield,306
Mc Intosh,306
Bynum,306
Syracuse,306
Iselin,306
Cross,306
Garfield,306
Moscow,306
Rockwell,306
Loving,305
Kingsville,305
Clutier,305
Nokomis,305
Michigan,304
Moriches,304
Jay,303
Spirit Lake,303
Marietta,303
Cardwell,302
Elk Rapids,302
New Goshen,302
Lamy,302
Broomfield,302
Thornville,301
Shedd,300
Dell City,300
Palmdale,300
Trenton,300
Webster City,299
Vancouver,299
Rossville,298
Ragland,298
Harmony,298
Early,298
Richland,297
Daniels,297
Louisiana,296
Williams,296
Rosewood,296
Mc Clellandtown,295
West Long Branch,295
De Queen,295
Arvada,294
Jackson,294
Malad City,294
South Richmond Hill,293
Howes Cave,293
Monetta,293
Riverview,292
Manquin,292
Girard,292
Palmyra,291
Akron,291
Chatham,290
West Bethel,289
Stittville,285
Rochester,284
New Franken,284
Boulder,283
West Finley,279
De Lancey,273
Lithopolis,269
Hubbell,14
Coulee Dam,11
Melville,10
West Frankfort,10
Walkertown,9
Phelps,9
Granbury,9
Clinton,9
North East,9
Byesville,9
Orange Park,9
La Grande,9
Beacon,9
Medford,8
Gaines,8
Nanuet,8
Madisonville,8
Mineral,8
Roland,7
Mount Vernon,7
Seattle,7
Kaktovik,7
Greenport,7
Ashland,7
Pleasant Hill,7
Norfolk,7
Oakton,7
Ridge Spring,7
Mountain City,7
Winnsboro,6
Wappapello,6
Claypool,6
Crouse,6
Karns City,6
Morven,6
Waukau,6
Irvington,5
Chattanooga,5
Downey,5
Clarion,5
Vacaville,5
Marshall,5
Isanti,4
